Date,Open,High,Low,Close
2020-03-19 09:00:00,239.25,239.44,232.22,237.98
2020-03-19 10:00:00,237.98,243.91,236.54,239.25
2020-03-19 11:00:00,239.25,246.37,238.61,242.73
2020-03-19 12:00:00,242.73,243.9,238.82,242.22
2020-03-19 13:00:00,242.22,246.24,241.06,244.47
2020-03-19 14:00:00,244.47,247.38,242.37,244.43
2020-03-19 15:00:00,244.43,245.62,240.36,241.16
2020-03-20 09:00:00,242.53,243.55,236.61,239.13
2020-03-20 10:00:00,239.13,244.41,238.82,244.06
2020-03-20 11:00:00,244.06,244.47,237.74,238.82
2020-03-20 12:00:00,238.82,239.35,234.3,237.46
2020-03-20 13:00:00,237.46,239.79,236.43,237.83
2020-03-20 14:00:00,237.83,238.9,231.2,232.31
2020-03-20 15:00:00,232.31,234.92,228.59,228.94
2020-03-23 09:00:00,228.19,228.23,221.97,227.41
2020-03-23 10:00:00,227.41,228.78,223.32,223.54
2020-03-23 11:00:00,223.54,225.11,218.25,220.48
2020-03-23 12:00:00,220.48,228.17,219.27,227.4
2020-03-23 13:00:00,227.4,229.39,221.65,222.95
2020-03-23 14:00:00,222.95,225.23,220.75,222.17
2020-03-23 15:00:00,222.17,224.96,219.02,222.51
2020-03-24 09:00:00,234.42,238.23,233.8,235.51
2020-03-24 10:00:00,235.51,239.23,234.64,237.46
2020-03-24 11:00:00,237.46,240.46,236.16,240.45
2020-03-24 12:00:00,240.45,242.97,239.57,239.65
2020-03-24 13:00:00,239.65,240.65,236.76,237.25
2020-03-24 14:00:00,237.25,240.67,235.04,240.59
2020-03-24 15:00:00,240.59,244.1,240.21,243.59
2020-03-25 09:00:00,244.87,249.22,242.21,242.52
2020-03-25 10:00:00,242.52,245.74,239.75,245.4
2020-03-25 11:00:00,245.4,246.75,244.35,245.84
2020-03-25 12:00:00,245.84,252.27,245.71,250.81
2020-03-25 13:00:00,250.81,256.35,250.48,254.03
2020-03-25 14:00:00,254.03,255.03,251.01,254.42
2020-03-25 15:00:00,254.42,255.49,245.59,246.77
2020-03-26 09:00:00,249.52,254.14,249.03,253.71
2020-03-26 10:00:00,253.71,257.51,252.82,255.59
2020-03-26 11:00:00,255.59,259.03,254.36,258.45
2020-03-26 12:00:00,258.45,259.18,256.62,258.72
2020-03-26 13:00:00,258.72,259.36,254.82,256.75
2020-03-26 14:00:00,256.75,259.1,255.46,258.56
2020-03-26 15:00:00,258.56,262.8,256.54,261.39
2020-03-27 09:00:00,253.29,254.98,251.05,253.14
2020-03-27 10:00:00,253.14,254.6,251.92,253.17
2020-03-27 11:00:00,253.17,256.23,252.45,252.68
2020-03-27 12:00:00,252.68,255.21,252.18,255.15
2020-03-27 13:00:00,255.15,257.3,253.69,255.67
2020-03-27 14:00:00,255.67,257.72,254.87,257.61
2020-03-27 15:00:00,257.61,260.81,252.55,253.38
2020-03-30 09:00:00,255.7,257.24,253.53,255.31
2020-03-30 10:00:00,255.31,258.56,254.74,257.08
2020-03-30 11:00:00,257.08,259.87,256.81,259.16
2020-03-30 12:00:00,259.16,260.38,258.12,260.32
2020-03-30 13:00:00,260.32,260.33,258.57,259.09
2020-03-30 14:00:00,259.09,260.95,257.94,260.32
2020-03-30 15:00:00,260.32,262.41,258.92,261.68
2020-03-31 09:00:00,260.58,260.92,258.29,259.17
2020-03-31 10:00:00,259.17,263.25,259.12,261.79
2020-03-31 11:00:00,261.79,263.33,261.0,262.51
2020-03-31 12:00:00,262.51,262.71,258.51,259.36
2020-03-31 13:00:00,259.36,260.31,257.94,260.1
2020-03-31 14:00:00,260.1,260.64,258.77,259.81
2020-03-31 15:00:00,259.81,260.44,256.22,257.7
2020-04-01 09:00:00,247.98,249.88,247.61,248.89
